area,legacy_assets,behavioral_disposition,target_scope,evidence_gate,evidence,current_data_action
identity_staff,"neon_auth.*;profiles;organization_members;user_invitations",replace,Identity+Organizations,"resolver; vínculo; convite; revogação; MFA",QA-DB-01,discard_no_export_no_backup
identity_patient,"patient_portal_users;patient access/auth artifacts",replace,Identity+PatientAccess,"subject↔patient; recuperação; revogação; tokens efêmeros não são referência",BR-PACIENTE-006,discard_no_export_no_backup
patients,patients,preserve,Patients,"modelo canônico; autoria; classificação PII/PHI",BR-PACIENTE-001,discard_no_export_no_backup
patient_intake,"precadastros;precadastro_tokens;pre_registrations;pre_registration_tokens",correct,PatientIntake,"trilho único; fail-closed; rate limit; retenção",BR-PACIENTE-002;14.D,discard_no_export_no_backup
scheduling_core,"appointments;recurring_series;appointment_status_settings;staff_schedules;schedule_*",correct,Scheduling,"status canônicos; recorrência; disponibilidade; conflito",BR-AGENDA-001;BR-AGENDA-007;BR-AGENDA-008;BR-AGENDA-014;BR-AGENDA-016,discard_no_export_no_backup
scheduling_facilities,"rooms;salas;blocked_times;blocked_slots;feriados;schedule_capacity",replace,Scheduling,"modelo canônico de salas; recursos; bloqueios; capacidade",BR-AGENDA-002;BR-AGENDA-003,discard_no_export_no_backup
scheduling_public,"public_booking_requests;waitlist;waitlist_offers;public booking/check-in routes",correct,PublicEdge+Scheduling,"fail-closed; Turnstile; rate limit; no-show; consentimento",BR-AGENDA-013;BR-AGENDA-015;BR-AGENDA-017;14.C-A10,discard_no_export_no_backup
groups_classes,"group_checkins;group_class_schedules;group_classes;group_enrollments;group_sessions;group_waitlist;/api/groups/*;/cadastros/turmas",do_not_port,excluded_groups_classes,"teste de ausência; nenhuma entidade; rota; flag ou placeholder",DEC-001;BR-AGENDA-006;DB-006,discard_no_export_no_backup
clinical_sessions,"sessions;evolution_versions;evolution_measurements;observacao_ydoc",correct,Clinical+Collaboration,"autoria; estados; versionamento; revisão; assinatura; colaboração",BR-EVOLUCAO-001..014,discard_no_export_no_backup
clinical_history,"patient_surgeries;surgeries;pathologies;patient_pathologies;pain_maps;pain_map_points;physical_examinations;medical_records",replace,Patients+Episodes+Clinical,"modelo por agregado; autoria; data clínica; sem inferir diagnóstico",feature-status.csv;database-objects.csv,discard_no_export_no_backup
clinical_assessments,"evaluation_forms;evaluation_form_fields;evaluation_templates;patient_evaluation_responses;standardized tests;measurements",correct,Outcomes,"licença; versão do instrumento; cálculo; respostas e interpretação",feature-status.csv;QA-PROD-PROMS,discard_no_export_no_backup
medical_returns,"medical_requests;medical_request_files;patient_medical_returns;medical_reports;medical_report_templates",preserve,Documents+Clinical,"lifecycle; prazos; anexos; destinatário; liberação",BR-RETORNO-001;BR-RETORNO-002,discard_no_export_no_backup
exercises,"exercises;categories;protocols;plans;items;logs;exercise_media_attachments",correct,Exercises+HEP,"proveniência/licença; dose; mídia; busca; prescrição; adesão",BR-EXERCICIO-001..005,discard_no_export_no_backup
finance_core,"patient_packages;package_usage;payments;pagamentos;transactions;transacoes;commissions;recibos",replace,Finance+ERP_complete,"ledger canônico; dupla entrada; reconciliação; segregação",BR-FINANCEIRO-001..008;BR-FINANCEIRO-012..013,discard_no_export_no_backup
finance_insurance,"convenios;health_insurances;convenio_reports",replace,Finance+ERP_complete,"contratos; faturamento; relatórios; regra contábil/fiscal",screens.csv:/relatorios/convenio,discard_no_export_no_backup
finance_erp,"DRE;vouchers;voucher_checkout_sessions;event commerce;duplicated ledgers;cost centers",replace,Finance+ERP_complete,"plano de contas; razão; AP/AR; DRE; vouchers; eventos; controles",BR-FINANCEIRO-009;BR-FINANCEIRO-010;14.D,discard_no_export_no_backup
nfse,"nfse;nfse_config;nfse_records;mTLS workflow",replace,NFSe_complete,"adapter de provedor; homologação; emissão; cancelamento; reconciliação",BR-FINANCEIRO-011;DB-003,discard_no_export_no_backup
messaging_current,"wa_conversations;wa_messages;wa_assignments;wa_templates;wa_internal_notes;wa_tags;wa_raw_events",correct,Messaging,"threads; IDs externos; estados; anexos; retenção; autorização",BR-CRM-001..002;BR-CRM-004..005;BR-CRM-017..020,discard_no_export_no_backup
messaging_legacy,"whatsapp_contacts;whatsapp_messages;whatsapp_pending_replies;whatsapp_exercise_queue;whatsapp_automation_log",evidence_only,Messaging,"usar somente para descobrir comportamento não duplicado",QA-DB-03;14.D,discard_no_export_no_backup
consent_optout,"wa_opt_in_out;marketing_consents;lgpd_consents;notification_preferences",replace,Audit+Privacy,"finalidade; prova; revogação; opt-out separado por uso",BR-CRM-002;doc-10,discard_no_export_no_backup
crm_relationship,"contacts;leads;recall;reactivation;referral_codes;referral_redemptions;nps_surveys;satisfaction surveys",replace,CRM_complete,"lifecycle; consentimento; SLA; atribuição; relacionamento",BR-PACIENTE-003..005;BR-NPS-001..004,discard_no_export_no_backup
marketing_content,"campaigns;marketing_exports;content_calendar;content generator;Instagram;webchat;lead scoring/routing",replace,Marketing_complete,"campanhas; automações; conteúdo; social; webchat; scoring; atribuição",BR-CRM-003;BR-CRM-006..016;BR-CRM-021,discard_no_export_no_backup
site_builder_white_label,"website builder;landing pages;themes;domains;branding artifacts",replace,SiteBuilder+WhiteLabel_complete,"blocos fechados; preview; publicação; domínio; rollback; tenant branding",DEC-014,discard_no_export_no_backup
saas_platform,"tenant administration;billing concepts;feature flags;usage concepts",replace,SaaSPlatform_complete,"onboarding; provisioning; subscriptions; entitlements; metering; support; SLO",DEC-014,discard_no_export_no_backup
tasks,"tarefas;boards;board_columns;task_dependencies;task recurrence",replace,Projects_complete,"tarefas; boards; dependências; recorrência; automações; permissões",BR-TAREFAS-001..005,discard_no_export_no_backup
projects_time,"projects;time_entries;Jira;Asana;Monday",replace,Projects_complete,"portfólio; projetos; capacidade; timesheets; integrações",feature-status.csv,discard_no_export_no_backup
commerce,"event commerce;voucher checkout;catalog/shop artifacts",replace,Commerce_complete,"catálogo; checkout; pedidos; pagamentos; devolução; fulfillment",BR-FINANCEIRO-009;BR-FINANCEIRO-010,discard_no_export_no_backup
gamification,"patient_gamification;xp_transactions;achievements;quests;shop;leaderboard;user_inventory",replace,Gamification_complete,"pontos; conquistas; desafios; moedas; loja; ranking; inventário virtual",BR-GAMIFICACAO-001,discard_no_export_no_backup
biomechanics,biomechanics_*,defer_experiment,Wearables+Biomechanics_complete,"piloto; consentimento; precisão; algoritmo; retenção de vídeo",feature-status.csv,discard_no_export_no_backup
wearables,"wearable_data;wearable_oauth_tokens",defer_experiment,Wearables+Biomechanics_complete,"consentimento; proveniência; unidades; protocolo; utilidade",feature-status.csv,discard_no_export_no_backup
digital_twin,"digital_twin_snapshots;patient_predictions;risk routes",defer_experiment,DigitalTwin_complete,"dataset; ontologia; governança; validação; incerteza; drift",14.E,discard_no_export_no_backup
telemedicine,"telemedicine_rooms;Jitsi;LiveKit",replace,Telehealth_complete,"provider adapter; identidade; consentimento; tokens; prontuário; fallback",QA-PROD-03;14.C-A12,discard_no_export_no_backup
collaboration,"observacao_ydoc;collaboration routes;Durable Object",replace,Collaboration_complete,"auth; tenancy; presença; conflitos; snapshots; finalização canônica",BR-EVOLUCAO-007,discard_no_export_no_backup
ai_agents,"ai_config;ai_models;agent_memories;agent routes;workflows",replace,AI+Agents_complete,"registry; tools estreitas; avaliações; approval; orçamento; auditoria",BR-IA-001..006,discard_no_export_no_backup
documents_media,"patient_documents;document_signatures;patient_exams;patient_exam_files;medical_attachments;media_gallery;R2 object families",replace,Documents,"hash; metadados; assinatura; retenção; acesso temporário",BR-DOCS-001;doc-10,discard_no_export_no_backup
notifications_devices,"notifications;push_subscriptions;push_tokens",replace,Notifications,"registro novo do dispositivo; conteúdo neutro; logout wipe",feature-status.csv;DB-006,discard_no_export_no_backup
audit_lgpd,"audit_logs;clinical_access_logs;security_events;lgpd_deletion_requests;retention/legal-hold artifacts",replace,Audit+Privacy,"append-only; finalidade; consentimento; retenção; exportação; legal hold",BR-AUTH-007;doc-10,discard_no_export_no_backup
wiki_knowledge,"wiki_*;knowledge_*;clinical_embeddings",correct,Knowledge+Evidence_complete,"conteúdo original/licenciado; fonte; revisão; versão; busca semântica",QA-EFISIO-01,discard_no_export_no_backup
events_partners,"eventos;evento_templates;evento_contratados;prestadores;partner_companies;empresas_parceiras",replace,Events+Partners_complete,"contratos; agenda; pagamentos; operação; sem criar turmas clínicas",screens.csv:/eventos;DB-006,discard_no_export_no_backup
inventory,"clinic_inventory;inventory_movements;suppliers;fornecedores",replace,Inventory_complete,"itens; locais; lotes; movimentos; reservas; compras; fornecedores",feature-status.csv,discard_no_export_no_backup
analytics_read_models,"business_metrics;staff_performance_metrics;generated_reports;events lake/derived aggregates",replace,Analytics_complete,"métricas versionadas; projeções reconstruíveis; células pequenas; autorização",feature-status.csv,discard_no_export_no_backup
calendar_integrations,"google_integrations;google_sync_logs;external calendar tokens",replace,Integrations,"adapter; consentimento; conta nova; credenciais novas; reconciliação",integrations.csv,discard_no_export_no_backup
dicom_pacs,"Orthanc credentials;DICOM/PACS concepts;worklists;studies/series/instances",do_not_port,excluded_DICOM_PACS,"teste de ausência; nenhum viewer; ingestão; bucket; SDK ou placeholder",DEC-017,discard_no_export_no_backup
orphan_assets,"8 unreferenced tables;23 orphan endpoints;8 unmounted modules;4 dead cron cases;1 orphan workflow;orphan CF resources",evidence_only,none,"dependency scan; registrar dívida; não reproduzir implementação órfã",DB-006;14.E,discard_no_export_no_backup
