id,tipo,descricao,origem,ambiente,data,ferramenta,status,confianca,observacoes
DB-001,banco,Metadados agregados do schema public (303 tabelas 849 índices 339 policies etc) e extensões,Neon purple-union-72678311 branch production db neondb,producao,2026-07-13,MCP Neon run_sql (read-only),confirmado-no-banco,alta,information_schema/pg_catalog apenas
DB-002,banco,Schema neon_auth com 9 tabelas (user session account verification jwks organization member invitation project_config),Neon idem,producao,2026-07-13,MCP Neon,confirmado-no-banco,alta,
DB-003,banco,Volumetria agregada (986 pacientes 13941 appointments 11054 sessions 1 org 1 profile 0 lgpd_consents 0 nfse_records),Neon idem,producao,2026-07-13,MCP Neon,confirmado-no-banco,alta,apenas count(*) — nenhum dado identificável lido
DB-004,banco,9 roles Postgres no branch production incl. inngest órfã e trio Data API,neonctl connection-string (erro listando roles),producao,2026-07-13,neonctl,confirmado-no-banco,alta,
DB-005,banco,Dois databases no branch production: neondb e gestao-saude,neonctl connection-string (erro listando databases),producao,2026-07-13,neonctl,confirmado-no-banco,alta,risco de isolamento
DB-006,banco,8 tabelas sem nenhuma referência no código (asset_annotations empresas_parceiras force_sessions group_class_schedules group_sessions group_waitlist precadastro_tokens push_tokens),comparação database-objects.csv × corpus de código,producao+codigo,2026-07-13,psql+grep,confirmado,media,corpus = apps/+src/+packages
DB-007,banco,23 enums reais incl. appointment_status com 17 valores EN+PT misturados,Neon pg_enum,producao,2026-07-13,MCP Neon,confirmado-no-banco,alta,
DB-008,banco,Policies RLS redundantes multi-geração (patients com 4 policies),pg_policies,producao,2026-07-13,MCP Neon,confirmado-no-banco,alta,
DB-009,banco,"260 tabelas com RLS ligado e 43 desligado; 33 têm policy com RLS desligado e 28 têm RLS sem policy; conexão prod usa neondb_owner (BYPASSRLS)",pg_class.relrowsecurity + pg_policies + CF-002,producao,2026-07-13,MCP Neon+CF,confirmado,alta,"isolamento do caminho principal depende dos filtros da aplicação"
DB-010,banco,Triggers de negócio: trg_lead_efetivado_to_patient trg_lead_stage_to_contact_lifecycle trg_nps_on_response + touch triggers,information_schema.triggers,producao,2026-07-13,psql,confirmado-no-banco,alta,
DB-011,banco,3 projetos Neon na org; fisioflow-production (us-east-1 criado 05/jul) NÃO é o prod real; gestao-saude-cloudflare fora do escopo,MCP Neon list_projects,conta,2026-07-13,MCP Neon,confirmado,alta,
CF-001,cloudflare,15 Workers na conta; FisioFlow = api/web(+staging)/ai-gateway/mcp-server/mcp(legado); 7 de outros projetos,MCP cloudflare-builds workers_list,conta,2026-07-13,MCP Cloudflare,confirmado,alta,
CF-002,cloudflare,Hyperdrive fisioflow-neon → ep-wandering-bonus-acj4zwvo.sa-east-1 db neondb user neondb_owner caching disabled; staging usa app_runtime+pooler,API /hyperdrive/configs,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,
CF-003,cloudflare,6 KV namespaces; só FISIOFLOW_CONFIG (+staging) com binding FisioFlow,API /storage/kv/namespaces,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,
CF-004,cloudflare,13 buckets R2; fisioflow-files sem binding no wrangler (verificar S3 API),API /r2/buckets,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,
CF-005,cloudflare,7 queues; FisioFlow: background-tasks whatsapp-inbound + 2 DLQs,API /queues,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,
CF-006,cloudflare,10 workflows deployados no script fisioflow-api vs 12 declarados (faltam nfse-emission e patient-discharge),API /workflows × apps/api/wrangler.toml,conta+codigo,2026-07-13,MCP cloudflare-api,contraditorio,alta,divergência registrada
CF-007,cloudflare,Custom domains: moocafisio.com.br www api-pro api-paciente + lab/lab2 (activity-lab),API /workers/domains,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,
CF-008,cloudflare,43 nomes de secrets no fisioflow-api (incl. INNGEST_* órfãos; sem chave Deepgram) e DATABASE_URL no fisioflow-web,API /workers/scripts/*/secrets,conta,2026-07-13,MCP cloudflare-api,confirmado,alta,apenas NOMES — valores nunca lidos
SRC-001,codigo,wrangler.toml raiz: Workers Assets (não Pages) + domínios custom,wrangler.toml:1-12,repo@9b5c76f10,2026-07-13,leitura,confirmado-no-codigo,alta,
SRC-002,codigo,apps/api/wrangler.toml completo: bindings workflows DOs queues crons vars observability mTLS NFSE_SP_CERT,apps/api/wrangler.toml,repo@9b5c76f10,2026-07-13,leitura,confirmado-no-codigo,alta,
SRC-003,codigo,Drizzle cobre só 23 tabelas (packages/db/src/schema + templates.ts) vs 303 no banco; única tabela código-sem-banco = ai_usage_events,rg pgTable,repo@9b5c76f10,2026-07-13,rg,confirmado-no-codigo,alta,
DOC-001,doc,MIGRATIONS_STATUS.md: rastreio manual 0032-0140 com gap 0041-0048 (path antigo workers/migrations),apps/api/migrations/MIGRATIONS_STATUS.md,repo@9b5c76f10,2026-07-13,leitura,documentado,media,sem ledger no banco
DOC-002,doc,ARCHITECTURE.md desatualizado (cita Cloudflare Pages; deploy real = Workers Assets),ARCHITECTURE.md × wrangler.toml,repo@9b5c76f10,2026-07-13,leitura,contraditorio,alta,
RUN-001,runtime,Login em moocafisio.com.br → /agenda como perfil ADMIN (org MOOCA FISIO),moocafisio.com.br/auth/login,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,autenticado pelo dono; somente leitura
RUN-002,runtime,"/agenda = FullCalendar (Dia/Semana/Mês, real-time active, Pacotes/Fila/Agendar/Settings)",moocafisio.com.br/agenda,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,
RUN-003,runtime,Frontend prod consome fisioflow-api.rafalegollas.workers.dev (NÃO api-pro.moocafisio.com.br do wrangler),network requests /patients,producao,2026-07-13,claude-in-chrome,contraditorio,alta,divergência nova — ver 14 e runtime-observations.md
RUN-004,runtime,/patients mostra 986 pacientes — bate com count(*) do banco,moocafisio.com.br/patients,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,valida DB-003
RUN-005,runtime,GET /api/appointments?dateFrom&dateTo&limit=500;/api/exercises?limit=500;/api/patients?status=ativo&limit=500&minimal=true (200),network requests,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,contratos com query params reais
RUN-006,runtime,/financial carrega p/ admin com 8 abas (Resumo/Cobrança/Fluxo/Faturamento/Documentos/Performance/Inteligência/Comissões); valores R$0,moocafisio.com.br/financial,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,financeiro pouco usado (transactions=2)
RUN-007,runtime,Menu admin: 6 grupos (Atendimento/Clínica/Inteligência&IA/Gestão&Operação/Configurações/Painel Admin),sidebar,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,RBAC admin
RUN-008,runtime,Slugs internos em inglês (/patients /exercises /protocols /clinical-tests /financial) vs rótulos PT-BR,menu hrefs,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,
RUN-009,runtime,BUG prod: /patients/{uuid} caía no ErrorBoundary (ReferenceError: Badge is not defined em SurgeriesCard.tsx sem import) — CORRIGIDO e verificado na sessão,console + src/components/evolution/SurgeriesCard.tsx:103,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,corrigido pelo usuário durante a auditoria
RUN-010,runtime,Prontuário /patients/{uuid} tem 12 abas (Visão Geral/Evolução/Linha do Tempo/Analytics&IA/Dados Pessoais/Histórico Clínico/Biomecânica/Financeiro/Gamificação/Arquivos/Tarefas/Evidência) + Agente de Retenção (Cloudflare Autonomous Agent),moocafisio.com.br/patients/{uuid},producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,dados pessoais não reproduzidos
RUN-011,runtime,"/patients tem Cadastros Pendentes, filtros clínicos/financeiros, Cockpit Clínico, Aniversariantes e paginação",moocafisio.com.br/patients,producao,2026-07-13,claude-in-chrome,confirmado-em-runtime,alta,sem reproduzir dados pessoais
RUN-000,runtime,Papéis não-admin NÃO observados (só admin); demais estados de erro/vazio não forçados,—,producao,2026-07-13,claude-in-chrome,inacessivel,n/a,lacuna parcial remanescente da fase 3
